,Brand Name,Device Type,Model Name,Color,Selling Price,Original Price,Rating (Out of 5)
222,FOSSIL ,Smartwatch,Gen 5 Carlyle HR,Black,"15,995","22,995",4.2
223,FOSSIL ,Smartwatch,Gen 5 Carlyle HR,"Brown, Grey","14,995","22,995",4.2
224,FOSSIL ,Smartwatch,Gen 5 Garrett HR,Silver,"15,995","22,995",4.1
225,FOSSIL ,Smartwatch,Gen 5 Julianna HR,Gold,"18,495","18,495",3.8
226,FOSSIL ,Smartwatch,Gen 5 Julianna HR,Black,"18,995","22,995",4.3
227,FOSSIL ,Smartwatch,Latitude Hybrid HR,Black,"12,396","14,995",4.3
228,FOSSIL ,Smartwatch,Gen 5 Garrett HR,Black,"14,995","22,995",4.1
229,FOSSIL ,Smartwatch,FB-01 Hybrid HR,Black,"12,396","14,995",4.0
230,FOSSIL ,Smartwatch,Gen 5 Julianna HR,Silver,"18,495","18,495",3.8
231,FOSSIL ,Smartwatch,Collider Hybrid,Black,"16,495","16,495",4.0
232,FOSSIL ,Smartwatch,Collider Hybrid,"Brown, Grey","14,995","14,995",4.0
233,FOSSIL ,Smartwatch,Sadie Hybrid,Silver,"8,995","13,495",4.0
234,FOSSIL ,Smartwatch,FB-01 Hybrid HR,"Silver, Black","14,021","16,495",4.0
235,FOSSIL ,Smartwatch,Commuter,Black,"11,995","11,995",4.3
236,FOSSIL ,Smartwatch,Latitude Hybrid HR,Grey,"13,196","16,495",4.3
237,FOSSIL ,Smartwatch,Sport,Multicolor,"17,995","17,995",3.9
238,FOSSIL ,Smartwatch,Charter Hybrid HR,Gold,"13,196","16,495",3.9
239,FOSSIL ,Smartwatch,Carlie Hybrid,Gold,"13,495","13,495",4.6
240,FOSSIL ,Smartwatch,Carlie,Beige,"11,995","11,995",4.8
241,FOSSIL ,Smartwatch,Neutra Hybrid,Silver,"13,495","13,495",5.0
242,FOSSIL ,Smartwatch,Q Venture,Blue,"19,999","21,995",3.8
243,FOSSIL ,Smartwatch,Jacqueline,Gold,"13,495","13,495",4.6
244,FOSSIL ,Smartwatch,Q Neely,Black,"6,995","12,995",4.6
245,FOSSIL ,Smartwatch,FTW5018 Hybrid,Gold,"11,596","14,495",4.5
246,FOSSIL ,Smartwatch,FTW5012 Hybrid,Brown,"9,097","12,995",4.6
247,FOSSIL ,Smartwatch,Jacqueline Hybrid,Rose Gold,"10,796","13,495",4.0
248,FOSSIL ,Smartwatch,Q Annette,Gold,"6,995","13,495",4.6
249,FOSSIL ,Smartwatch,Gen 5 Julianna HR,Grey,"15,995","22,995",4.3
250,FOSSIL ,Smartwatch,FTW6007,Brown,"19,995","19,995",4.1
251,FOSSIL ,Smartwatch,Gen 5E,"Black, Silver ","18,495","18,495",3.8
252,FOSSIL ,Smartwatch,Neutra Hybrid,"Brown, Black","11,995","11,995",5.0
253,FOSSIL ,Smartwatch,Gen 5 Julianna HR,Blue,"15,995","22,995",4.3
254,FOSSIL ,Smartwatch,FTW1151 Hybrid,Gold,"8,995","11,995",4.3
255,FOSSIL ,Smartwatch,Barstow Hybrid,Brown,"8,995","11,995",4.6
256,FOSSIL ,Smartwatch,Wander RG,Black,"18,995","18,995",4.0
